"","stroma score","immune score","estimate score","tumor purity"
"TCGA.3C.AALI.01",124.07506296526,289.465735766076,413.540798731336,0.78649070723235
"TCGA.A2.A04W.01",521.169785657446,-420.907047640451,100.262738016995,0.814050053887545
"TCGA.A2.A04X.01",123.831030944228,916.414899130414,1040.24593007464,0.726430131457495
"TCGA.A2.A0CX.01",895.771137579296,258.391514563418,1154.16265214271,0.714837314963891
"TCGA.A2.A0D1.01",-437.805366465586,-1069.60979098995,-1507.41515745554,0.927279833063527
"TCGA.A2.A0EQ.01",183.321072152289,1633.81937186974,1817.14044402203,0.643509157047878
"TCGA.A2.A0T1.01",1313.63249188418,1481.56747501177,2795.19996689595,0.527373447326423
"TCGA.A2.A3XV.01",30.3506017917637,-294.772715071469,-264.422113279706,0.843959921589764
"TCGA.A2.A3XZ.01",-119.343683131098,1165.37246655755,1046.02878342645,0.72584650188119
"TCGA.A8.A07I.01",932.443334355095,117.62951056091,1050.072844916,0.725438047609948
"TCGA.A8.A08B.01",-679.441394581018,-241.251533803942,-920.69292838496,0.891640666171773
"TCGA.A8.A08J.01",561.379508198475,-322.761104338018,238.618403860457,0.802087626687513
"TCGA.A8.A08L.01",-12.5091018214458,295.09121759234,282.582115770894,0.798216962268756
"TCGA.A8.A08X.01",1002.51868434739,596.954593879998,1599.47327822739,0.667633089539247
"TCGA.A8.A094.01",508.829562387972,825.486178236343,1334.31574062432,0.696097225957114
"TCGA.A8.A09G.01",11.3506743649915,313.556773396955,324.907447761946,0.794459135431164
"TCGA.A8.A09X.01",950.284311524149,1021.21660834229,1971.50091986644,0.626001905292911
"TCGA.A8.A0A7.01",1470.785383015,2234.77875508898,3705.56413810398,0.409472045335691
"TCGA.AC.A23H.01",44.0768325030245,-806.661959713103,-762.585127210078,0.880894033707887
"TCGA.AC.A3W5.01",1352.58763856488,1093.11673394444,2445.70437250932,0.570248306266529
"TCGA.AC.A5EH.01",883.909741542578,119.419343724541,1003.32908526712,0.730143578362211
"TCGA.AN.A04C.01",-486.098359354185,-357.452657446661,-843.551016800847,0.886456950943517
"TCGA.AN.A0FV.01",350.54538080936,-880.033313333208,-529.487932523848,0.864186719339968
"TCGA.AO.A0J2.01",-415.479721659481,246.850990587579,-168.628731071901,0.836334137139091
"TCGA.AO.A0JE.01",1379.65190545834,1035.76200389651,2415.41390935485,0.573895160775274
"TCGA.AO.A12D.01",1030.6018978041,996.464148258911,2027.06604606301,0.619620682610849
"TCGA.AR.A0TX.01",797.132939929787,994.489449594579,1791.62238952437,0.646371780212382
"TCGA.AR.A24U.01",1144.06812520124,1228.69219308605,2372.76031828729,0.579011234728749
"TCGA.AR.A254.01",1144.59961999697,855.181745960914,1999.78136595788,0.622759293279027
"TCGA.B6.A0I9.01",-501.916537474074,-427.304010972526,-929.2205484466,0.89220669206984
"TCGA.B6.A0IK.01",-195.866599875548,-409.429127655901,-605.295727531449,0.869732241309627
"TCGA.B6.A0RH.01",513.124670873142,-508.088377258122,5.03629361502055,0.822088691312155
"TCGA.B6.A0RS.01",165.785481415507,285.405093581852,451.190574997358,0.783065504634779
"TCGA.BH.A0AW.01",962.078144846203,1601.14756907641,2563.22571392261,0.555993130591204
"TCGA.BH.A0B7.01",915.601189964293,944.27366381759,1859.87485378188,0.638694997116308
"TCGA.BH.A0EE.01",-1284.32088197505,-147.735896437449,-1432.0567784125,0.923082015731421
"TCGA.BH.A18P.01",210.534822610375,-418.640972325801,-208.106149715426,0.83949691768812
"TCGA.BH.A18R.01",-371.143637369149,-438.977963692876,-810.121601062025,0.884175250313424
"TCGA.BH.A1EN.01",177.110651389234,-747.822249606509,-570.711598217275,0.867215646802187
"TCGA.BH.A1EV.01",413.439232019947,-914.73429073316,-501.295058713213,0.862097007848957
"TCGA.BH.A203.01",184.264307963788,270.798890408606,455.063198372394,0.78271183292408
"TCGA.C8.A12L.01",-430.385504141689,-400.473349200969,-830.858853342659,0.885593167133713
"TCGA.C8.A12P.01",664.245121015788,-107.101231262627,557.14388975316,0.773298344506589
"TCGA.C8.A12Q.01",582.72447182996,115.472915722656,698.197387552616,0.76000567547385
"TCGA.C8.A12T.01",765.943690332071,-333.79330346692,432.15038686515,0.784800688735868
"TCGA.C8.A12Z.01",-227.260652878258,-914.175808214312,-1141.43646109257,0.905840131780227
"TCGA.C8.A135.01",503.901219296851,28.6385637575343,532.539783054385,0.775583201872029
"TCGA.C8.A137.01",-48.1960972759255,-1256.77002441591,-1304.96612169183,0.915746869682076
"TCGA.C8.A138.01",983.142004924281,920.327541659598,1903.46954658388,0.633758028802349
"TCGA.C8.A1HF.01",726.780434213869,716.780592487736,1443.5610267016,0.684495256100565
"TCGA.C8.A1HK.01",-437.162894212775,-651.38524040338,-1088.54813461616,0.902524141150786
"TCGA.C8.A26X.01",1071.41806466979,1451.88187290381,2523.29993757359,0.560854842152036
"TCGA.C8.A26Y.01",-842.767906279968,-259.82189744779,-1102.58980372776,0.90340983730114
"TCGA.C8.A275.01",240.327529717289,1062.47101233382,1302.79854205111,0.699411247881378
"TCGA.C8.A278.01",1021.13468936755,1008.03190214691,2029.16659151446,0.619378640033082
"TCGA.C8.A8HP.01",274.466341078276,994.052806871399,1268.51914794967,0.702998716285856
"TCGA.D8.A13Z.01",479.051423321005,387.84638523231,866.897808553315,0.743680254282646
"TCGA.D8.A1JA.01",612.189119553435,-277.665872247595,334.523247305841,0.793601122897831
"TCGA.D8.A1JF.01",661.484392258732,-178.682209781128,482.802182477604,0.780171151473059
"TCGA.D8.A1JG.01",694.242840874303,607.631975700742,1301.87481657505,0.699508151824652
"TCGA.D8.A1XJ.01",204.04942145325,-645.669779177178,-441.620357723928,0.857625145526915
"TCGA.D8.A1XT.01",1046.39960929396,155.681607883885,1202.08121717785,0.70990093793283
"TCGA.E2.A14P.01",-584.27419068697,-130.567686964745,-714.841877651716,0.877555374018278
"TCGA.E2.A14V.01",-367.406286953457,-956.083602568892,-1323.48988952235,0.916835886783516
"TCGA.E2.A152.01",893.884401885385,-257.025617578999,636.858784306387,0.765826505053056
"TCGA.E2.A1B0.01",501.43385058179,55.9239454600859,557.357796041876,0.773278435854597
"TCGA.E2.A1LB.01",240.179202503493,-700.592656413964,-460.413453910471,0.859040564792774
"TCGA.E9.A1RH.01",138.86613669881,-535.029775928394,-396.163639229585,0.854174567384553
"TCGA.E9.A248.01",234.275892094717,1322.79734509957,1557.07323719429,0.672253714138663
"TCGA.EW.A1OV.01",823.511564626291,2123.06834696951,2946.57991159581,0.508365251999275
"TCGA.EW.A2FR.01",1550.71649870168,17.1001977744154,1567.8166964761,0.671085381469077
"TCGA.EW.A6SD.01",253.620947828801,496.994548508783,750.615496337584,0.754982529760346
"TCGA.GM.A2DB.01",-708.47047529469,183.770575337014,-524.699899957675,0.863832863262353
"TCGA.GM.A2DH.01",-204.113480451719,804.56885418837,600.455373736651,0.769251741249072
"TCGA.LL.A5YO.01",538.47463994282,2396.6047335973,2935.07937354012,0.509818259233362
"TCGA.OL.A5RZ.01",-665.780869843641,-1022.74570825599,-1688.52657809963,0.936903614881358
"TCGA.OL.A66P.01",962.808891529565,2264.10950179793,3226.91839332749,0.472508539355688
"TCGA.UU.A93S.01",-970.002772827536,-414.49265623451,-1384.49542906205,0.920374452373418
