"","gene","fc_PCR_vs_RD","pval","mean_PCR","mean_RD","mean_diff"
"1","FAM174B",1.73988496966228,0.326074719408813,-0.101701052631579,-0.0584527450980392,-0.0432483075335397
"2","AP3S2",0.833665950028079,0.605205491304189,-0.065216052631579,-0.0782280392156863,0.0130119865841073
"3","SV2B",0.305606468758937,0.109249793250196,-0.0418492105263158,-0.136938235294118,0.0950890247678018
"4","RBPMS2",1.6693986051809,0.366131693362999,-0.0975963157894737,-0.0584619607843137,-0.03913435500516
"5","AVEN",1.12980557752352,0.593903201920151,0.100459210526316,0.0889172549019608,0.011541955624355
"6","ZSCAN29",0.650653650682497,0.544553940875783,0.0303771052631579,0.0466870588235294,-0.0163099535603715
"7","VPS39",3.94473620348708,0.105228469240133,-0.0733078947368421,-0.0185837254901961,-0.054724169246646
"8","CHP",0.375583172277406,0.302543968108181,-0.0129355263157895,-0.0344411764705882,0.0215056501547988
"9","CASC5",-0.0959906192215758,0.237451428426964,-0.0049421052631579,0.0514852941176471,-0.056427399380805
"10","ATMIN",1.39789847432492,0.698013898482508,-0.0383671052631579,-0.0274462745098039,-0.010920830753354
"11","UNKL",1.87177815387176,0.81327485169676,-0.0146207894736842,-0.00781117647058823,-0.00680961300309598
"12","TMEM127",0.924680929290531,0.725640851824855,-0.101430789473684,-0.109692745098039,0.008261955624355
"13","MMP15",0.988907102455858,0.991082448761797,-0.0370621052631579,-0.0374778431372549,0.000415737874097002
"14","PRM1",0.841087014202468,0.282911790228453,0.141453684210526,0.168179607843137,-0.0267259236326109
"15","USP10",1.9585881919383,0.419165057310109,-0.0539694736842105,-0.0275552941176471,-0.0264141795665635
"16","HSBP1",0.541055744810781,0.479872391641473,-0.0251810526315789,-0.0465405882352941,0.0213595356037152
"17","ESRP2",0.861521862196789,0.674619341353121,0.130557894736842,0.151543333333333,-0.0209854385964912
"18","CDH16",1.46291554366228,0.69237404872728,0.0353397368421053,0.0241570588235294,0.0111826780185759
"19","NELL2",1.64194461405327,0.0133885740060804,-0.473853947368421,-0.288593137254902,-0.185260810113519
"20","CMIP",1.34310137801633,0.774440041849623,-0.0542884210526316,-0.0404201960784314,-0.0138682249742002
"21","GRIN2A",5.99500859209527,0.0244759201132353,0.0232218421052632,0.00387352941176471,0.0193483126934985
"22","ZNF598",1.34861524439067,0.511153005451283,-0.0659644736842105,-0.0489127450980392,-0.0170517285861713
"23","DECR2",1.57696461277949,0.602043282821627,-0.0320228947368421,-0.0203066666666667,-0.0117162280701754
"24","NPRL3",0.764605718899138,0.285246265298997,-0.0938847368421053,-0.122788431372549,0.0289036945304438
"25","ORC6",0.925831575837916,0.282086235540845,0.342916578947368,0.370387647058824,-0.0274710681114551
"26","ORC6.1",-7.24461292848379,0.185481805883414,0.0613007894736842,-0.00846156862745098,0.0697623581011352
"27","PPP4C",0.93485498449463,0.844528757172015,-0.128219210526316,-0.137154117647059,0.00893490712074302
"28","IL34",2.05618134673617,0.709792501023647,-0.0143376315789474,-0.00697294117647059,-0.00736469040247678
"29","TCEB2",-6.93920465087513,0.208175181052615,0.0301052631578947,-0.00433843137254902,0.0344436945304438
"30","NTN3",0.976628684825215,0.917207640272377,0.0693571052631579,0.071016862745098,-0.00165975748194014
"31","EXOSC6",1.132334130672,0.916280202702853,-0.0194042105263158,-0.0171364705882353,-0.0022677399380805
"32","ZCCHC14",0.634709439646994,0.500032171487547,0.0288276315789474,0.0454186274509804,-0.016590995872033
"33","FAM192A",1.10431094715451,0.6181788245946,0.130209736842105,0.117910392156863,0.0122993446852425
"34","MTHFSD",1.07741918282448,0.890100466487309,0.0579668421052632,0.053801568627451,0.00416527347781218
"35","TXNL4B",1.46593860696739,0.518259138593798,0.0522273684210526,0.0356272549019608,0.0166001135190919
"36","KAT8",1.04582560285396,0.775323215798967,-0.157397368421053,-0.150500588235294,-0.00689678018575851
"37","VKORC1",0.640518474960692,0.000626224292854641,-0.104924210526316,-0.16381137254902,0.0588871620227038
"38","ROGDI",1.58321186571492,0.00225880667359494,-0.224183421052632,-0.141600392156863,-0.0825830288957689
"39","HMOX2",1.08760092703349,0.832276282842195,-0.062755,-0.0577003921568627,-0.00505460784313726
"40","TMEM170A",1.30416493390843,0.344103423221603,0.105085263157895,0.0805766666666667,0.0245085964912281
"42","ABCC6",1.68678588858458,0.325171919335932,-0.149700263157895,-0.0887488235294118,-0.060951439628483
"43","EXOC7",1.39766600053529,0.11430816943519,-0.146908947368421,-0.105110196078431,-0.0417987512899897
"44","PSMB3",0.788300860023228,0.632250341123178,0.119028947368421,0.15099431372549,-0.0319653663570691
"45","LPO",5.60478694428735,0.150561737911855,-0.0333407894736842,-0.00594862745098039,-0.0273921620227038
"48","TBCD",1.03068686901138,0.929372737350864,-0.0662165789473684,-0.0642450980392157,-0.00197148090815273
"49","MGAT4C",-0.235867836641983,0.164676121832847,-0.00646842105263158,0.0274239215686275,-0.033892342621259
"50","HN1",0.767699758875863,0.737396129262654,-0.0628881578947368,-0.0819176470588235,0.0190294891640867
"51","PNMT",1.50604066675468,0.748235785392633,-0.108186578947368,-0.0718350980392157,-0.0363514809081527
"52","ZBTB4",-2.54962163766242,0.344032627365753,-0.0223436842105263,0.0087635294117647,-0.031107213622291
"53","SERPINF1",0.0700977430837158,0.563755672157884,-0.00169921052631579,-0.0242405882352941,0.0225413777089783
"54","SMG6",0.846803223596001,0.492258140330112,-0.0679868421052632,-0.0802864705882353,0.0122996284829721
