"","gene","fc_PCR_vs_RD","pval","mean_PCR","mean_RD","mean_diff"
"19","NELL2",1.64194461405327,0.0133885740060804,-0.473853947368421,-0.288593137254902,-0.185260810113519
"102","ZNF587",0.148941351653251,0.00476749040422644,0.0224884210526316,0.150988431372549,-0.128500010319917
"164","MATN3",1.37231010005719,0.0499211287224709,-0.517271842105263,-0.376935098039216,-0.140336744066047
"166","SSFA2",1.57806111148386,0.00771622727921329,-0.420643947368421,-0.266557450980392,-0.154086496388029
"171","WNT10A",6.63570347678453,0.0302461088791123,0.118745263157895,0.0178949019607843,0.10085036119711
"279","MDM4",0.119839073160088,0.000189846449093624,0.0137952631578947,0.115114901960784,-0.10131963880289
"288","ANXA9",3.39841635318054,0.00534042894136251,-0.277767894736842,-0.0817345098039216,-0.196033384932921
"365","DUSP13",0.58939120078972,0.032782644495773,0.161995789473684,0.274852745098039,-0.112856955624355
"395","SPA17",-2.03482104207083,0.0175694374420574,-0.0763552631578947,0.0375243137254902,-0.113879576883385
"641","SULT2B1",-15.739162402837,0.00947906174306917,-0.0992986842105263,0.00630901960784314,-0.105607703818369
"956","LYNX1",4.0881597561083,0.0382883175090788,0.158093947368421,0.0386711764705882,0.119422770897833
"1417","RGS11",1.62138345068706,0.0200606634753712,-0.324338684210526,-0.200038235294118,-0.124300448916409
"1476","KRT37",3.17552720862384,0.0247200422874904,-0.146451578947368,-0.0461188235294118,-0.100332755417957
"1782","FLJ13744",0.657338917500372,0.0411020903326018,-0.308013421052632,-0.468576274509804,0.160562853457172
"1862","UGCG",1.92010472476936,0.00259917315709548,-0.316595526315789,-0.164884509803922,-0.151711016511868
"1939","MED24",5.02185497942069,0.00624257828470612,0.174204210526316,0.0346892156862745,0.139514994840041
"1951","CMYA5",-1.61205459334713,0.000508877613032272,-0.128077105263158,0.0794496078431373,-0.207526713106295
"2014","ZMAT1",0.400510576116965,0.00412574784221744,0.0978342105263158,0.244273725490196,-0.14643951496388
"2094","SLC16A1",0.136036346177801,0.0276879853744439,-0.0165444736842105,-0.121618039215686,0.105073565531476
"2176","AHNAK",11.8561808526601,0.00363535209437387,-0.133728421052632,-0.0112792156862745,-0.122449205366357
"2246","TUBA3C",0.162047895038366,0.00861805649794755,-0.0216857894736842,-0.133823333333333,0.112137543859649
"2353","SREBF1",1.87050833393266,0.0159898797497323,-0.264917894736842,-0.141628823529412,-0.12328907120743
"2356","ORMDL3",2.36055726020571,0.00895624474979193,0.278447631578947,0.117958431372549,0.160489200206398
