"","TCGA.3C.AALI.01","TCGA.A2.A04W.01","TCGA.A2.A04X.01","TCGA.A2.A0CX.01","TCGA.A2.A0D1.01","TCGA.A2.A0EQ.01","TCGA.A2.A0T1.01","TCGA.A2.A3XV.01","TCGA.A2.A3XZ.01","TCGA.A8.A07I.01","TCGA.A8.A08B.01","TCGA.A8.A08J.01","TCGA.A8.A08L.01","TCGA.A8.A08X.01","TCGA.A8.A094.01","TCGA.A8.A09G.01","TCGA.A8.A09X.01","TCGA.A8.A0A7.01","TCGA.AC.A23H.01","TCGA.AC.A3W5.01","TCGA.AC.A5EH.01","TCGA.AN.A04C.01","TCGA.AN.A0FV.01","TCGA.AO.A0J2.01","TCGA.AO.A0JE.01","TCGA.AO.A12D.01","TCGA.AR.A0TX.01","TCGA.AR.A24U.01","TCGA.AR.A254.01","TCGA.B6.A0I9.01","TCGA.B6.A0IK.01","TCGA.B6.A0RH.01","TCGA.B6.A0RS.01","TCGA.BH.A0AW.01","TCGA.BH.A0B7.01","TCGA.BH.A0EE.01","TCGA.BH.A18P.01","TCGA.BH.A18R.01","TCGA.BH.A1EN.01","TCGA.BH.A1EV.01","TCGA.BH.A203.01","TCGA.C8.A12L.01","TCGA.C8.A12P.01","TCGA.C8.A12Q.01","TCGA.C8.A12T.01","TCGA.C8.A12Z.01","TCGA.C8.A135.01","TCGA.C8.A137.01","TCGA.C8.A138.01","TCGA.C8.A1HF.01","TCGA.C8.A1HK.01","TCGA.C8.A26X.01","TCGA.C8.A26Y.01","TCGA.C8.A275.01","TCGA.C8.A278.01","TCGA.C8.A8HP.01","TCGA.D8.A13Z.01","TCGA.D8.A1JA.01","TCGA.D8.A1JF.01","TCGA.D8.A1JG.01","TCGA.D8.A1XJ.01","TCGA.D8.A1XT.01","TCGA.E2.A14P.01","TCGA.E2.A14V.01","TCGA.E2.A152.01","TCGA.E2.A1B0.01","TCGA.E2.A1LB.01","TCGA.E9.A1RH.01","TCGA.E9.A248.01","TCGA.EW.A1OV.01","TCGA.EW.A2FR.01","TCGA.EW.A6SD.01","TCGA.GM.A2DB.01","TCGA.GM.A2DH.01","TCGA.LL.A5YO.01","TCGA.OL.A5RZ.01","TCGA.OL.A66P.01","TCGA.UU.A93S.01"
"A1BG",237.384,145.32,42.9089,84.9884,119.722,27.3575,60.6525,136.28,188.818,49.3882,16.7845,226.434,161.897,85.4657,62.4047,19.8378,42.612,533.667,13.6874,199.313,255.41,7.0935,146.101,231.383,165.517,30.2775,145.357,52.3645,80.8254,87.3104,41.0405,219.364,131.859,468.489,126.669,11.7657,135.944,79.4918,64.778,151.947,85.5099,110.732,13.7562,113.988,356.812,50.3897,35.023,137.015,343.367,28.7259,15.5039,115.108,90.182,30.1118,34.84,677.266,21.4251,21.896,66.1207,99.7633,41.9599,52.2098,142.183,140.925,31.2655,22.4657,40.7368,117.183,45.0599,421.413,59.865,245.69,102.774,92.8527,295.553,36.8286,766.885,321.975
"A1CF",0,0,0,0.4036,0.9417,0.4145,0,0,0,0,2.6502,0,0,0,0,0,0,0,0,0.4114,0,1.4187,0.3841,0,0.4057,0.4806,0,0.331,0.2906,0.956,0,0.3439,0,0,0,1.6736,0.3662,0.2972,0,1.1643,0,0.3957,0,0,0,0.4917,0,0,0,0.297,0,0,0,0,0.3323,0,0,0,0,0,0.302,0.2646,0,0.3296,0,0,0,0,0,2.6371,0,0.419,0,0,0,0.5115,0,0
"A2BP1",0,0,0,0,0,0,0,0,0,61.2942,0,1.6633,0.6345,1.2011,0,1.2244,0,0,0.2976,2.4681,0,0,0.3841,0,2.0284,0.4806,0.3384,0.331,0,0,0,0.6878,0,1.1319,0,4.3515,2.5634,0,0.3175,0,0.3585,0,0,0,0.4445,0,0,0,2.0547,0,0.5001,0,0,0,0,0,0.2699,0,0.5798,0,0.6039,0,0,0,0.3958,0,0,0,0,0,0.5999,0,0,2.6076,13.7684,0,0,0
"A2LD1",70.8646,93.4108,59.6738,61.015,33.2384,155.42,100.747,393.05,146.464,112.618,125.283,139.461,72.9505,49.378,38.2448,61.157,117.049,111.598,83.3623,121.592,61.1464,83.7702,86.4177,23.9151,92.8925,103.91,26.0102,130.92,34.2832,88.7062,59.8844,67.4037,227.273,69.0266,42.8091,127.441,73.8332,54.4814,33.7322,46.2482,94.3502,161.017,82.2889,37.1162,46.3699,57.957,51.9447,45.5709,85.4244,75.1292,18.6147,60.7028,237.448,122.713,85.9437,114.744,46.4858,30.6555,191.008,31.4133,61.7139,79.1772,21.702,77.2608,26.1759,38.42,116.711,67.2778,103.917,59.0717,88.3473,168.019,75.1305,72.0548,102.718,176.65,151.029,225.094
"A2M",7571.98,23021.9,8776.37,15562.1,6574.57,11143.2,17260.9,7963.34,7400.37,14537.7,9786.01,7189.21,9609.05,12807.5,8626.4,11147.8,21584.2,23039.6,4767.05,15867.9,7590.07,9219.31,8479.65,5287.59,13079.9,13370.2,13831.4,12793.4,10207.9,6598.73,9677.37,9145.76,10612.7,19392.2,22113.6,5270.1,6636.61,7076.85,15569.6,7304.53,10554.1,7332.79,12593,17100,8522.78,10166.4,16361.7,6016.45,16836.2,15950,7094.26,19212.2,4821.7,11418,11784.6,9582.17,11225.9,5742.64,7003.98,9607.38,175697,11251,6804.15,5306.61,7325.55,14765.7,8424.98,2875.57,8945.58,14038.5,15817.2,9865.24,5305.28,7780.93,12368.4,3761.93,14477.6,3530.38
"A2ML1",4.3502,123.193,9.0114,1100.6,4.2378,13.6788,149.066,18.4946,10.3377,2.2048,9.7173,10.6454,123.096,2183.04,40.5996,110.499,728.138,531.606,37.7892,32.4969,7.4227,817.521,6.145,14.8169,31.2373,154.752,7.1066,2780.59,1.4532,1.5934,79.1908,3.4388,0.3157,101.868,3.9314,1642.51,1.831,25.26,0.3175,145.144,3.2264,3049.07,124.952,34.0324,13.7781,19.6681,384.793,69.5698,43.6625,3.267,49.0123,45.0161,197.644,1242.13,177.09,13.9754,2365.45,37.649,527.864,187.051,47.4072,0.7937,5.2062,3.9555,5.9365,29.521,1.7971,168.742,1215.6,39.557,59.988,51.1155,718.866,183.833,234.063,18.9258,2.8777,0
"A4GALT",157.694,332.838,83.9867,178.791,73.9258,124.352,352.814,227.097,176.775,159.189,361.307,173.32,118.655,249.833,92.4422,78.9715,103.901,202.591,85.9927,578.774,342.68,75.5453,129.813,108.278,304.665,148.024,149.915,115.196,114.219,100.382,116.185,474.553,206.124,232.032,300.572,247.029,61.5216,43.9822,93.3566,234.016,104.32,89.0384,162.018,182.103,351.119,86.0479,222.581,128.518,396.558,100.98,45.5114,205.328,56.9068,96.499,69.7729,283.154,226.451,40.0867,58.8448,73.9927,155.508,160.064,100.921,168.109,142.08,108.615,131.641,321.307,119.456,217.827,506.599,113.543,126.025,122.555,259.397,118.67,464.748,62.9522
"A4GNT",0.5438,0.5403,2.5232,0,0,0,0.3745,0,0.3446,0.441,0,0.998,0,0.6006,0,0.3061,0.8279,0.7852,0.2976,0,0.8247,0,0.3841,0.2849,0,0.9612,1.3536,0,1.1625,1.2747,0,0,0,0,0.3574,0,0.3662,1.4859,0.9526,1.9404,1.7924,0.3957,0,0.5971,0,0.4917,0,0,0,0.594,0,0,0,0.2942,0.3323,0,1.8893,0.2709,0.5798,0.2587,0.9059,0.5291,0,0.3296,1.5831,0,0,0.6344,1.2949,0.5274,2.3995,1.2569,1.4914,1.3038,0,0,0,0
"AAA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4608,0,0,0.297,0,0,0,0,0.9968,0,0,0,0,0,0,0,0,0.3296,0,0,0,0,0,0,0.2999,0,0,0,0,0,0,0
"AAAS",887.983000000001,573.281,1016.13,636.061,787.287,772.643,626.225,953.979,706.754,469.628,836.572,658.35,693.211,603.563,555.903,675.849,1058.06,711.033,647.177,746.195,769.485,877.461,585.31,638.837,663.692,543.073,506.599,378.028,543.777,810.389,552.601,970.426,558.712,667.233,505.004,738.745,640.117,739.079,539.817,818.085,702.635,635.536,553.687,497.948,814.24,1007.5,396.313,525.757,1081.29,822.691,652.163,796.049999999999,440.263,395.705,566.49,940.605,505.263,398.7,424.379,504.495,665.814,340.763,702.843000000001,702.761,604.334,370.59,546.333,570.613,558.433,732.595,642.771,380.853,953.766,635.984,722.016,766.752,856.835,505.065
